ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1991/1/25,3.9,8,1,9.5,8,1,-0.7,8,1
1991/1/26,3.7,8,1,5.9,8,1,1.6,8,1
1991/1/27,1.3,8,1,4.9,8,1,-2.3,8,1
1991/1/28,0.1,8,1,3.8,8,1,-3.8,8,1
1991/1/29,0.0,8,1,3.7,8,1,-2.8,8,1
1991/1/30,1.2,8,1,4.1,8,1,-1.8,8,1
1991/1/31,2.4,8,1,6.2,8,1,-1.8,8,1
1991/2/1,1.4,8,1,5.0,8,1,-2.2,8,1
1991/2/2,-0.3,8,1,3.9,8,1,-3.3,8,1
1991/2/3,0.8,8,1,4.3,8,1,-3.7,8,1
1991/2/4,0.7,8,1,5.9,8,1,-4.0,8,1
1991/2/5,0.4,8,1,3.2,8,1,-2.4,8,1
1991/2/6,0.8,8,1,5.9,8,1,-2.8,8,1
1991/2/7,0.4,8,1,4.4,8,1,-2.5,8,1
1991/2/8,-1.6,8,1,1.6,8,1,-5.4,8,1
1991/2/9,0.9,8,1,5.0,8,1,-2.9,8,1
1991/2/10,-0.9,8,1,0.3,8,1,-3.4,8,1
1991/2/11,1.8,8,1,7.3,8,1,-1.3,8,1
1991/2/12,1.5,8,1,6.0,8,1,-2.5,8,1
1991/2/13,1.9,8,1,5.2,8,1,-1.1,8,1
1991/2/14,1.2,8,1,9.3,8,1,-4.9,8,1
1991/2/15,2.9,8,1,8.9,8,1,-1.1,8,1
1991/2/16,6.6,8,1,9.8,8,1,2.3,8,1
1991/2/17,2.4,8,1,4.5,8,1,-1.2,8,1
